model,dataset,category,name,slope,p_value,r_value
gemma,wmt19_ruen,metric,metricx-metricx-24-hybrid-large-v2p6,0.049047300774133426,0.00023182582211236035,0.08754951380582103
gemma,wmt19_fien,ue,MSP,0.505759064636308,1.05987827e-315,0.7495506768489705
gemma,wmt19_fien,ue,PPL,-0.0035856591994650974,0.7904258148622032,-0.0063554844389217815
gemma,wmt19_fien,ue,MTE,-0.05680714508869467,0.00010074300669842409,-0.09279911771836113
gemma,wmt19_fien,ue,MCSE,0.5069024105216444,0.0,0.7577395856861302
gemma,wmt19_fien,ue,MCNSE,0.0026572787405882265,0.8364852519426745,0.0049357818014043875
gemma,wmt19_fien,ue,LSRL,0.08534109412926864,8.145127915675517e-09,0.13722643391874664
gemma,wmt19_fien,metric,Comet-wmt22-comet-da,-0.006088162433271032,0.6470805515131799,-0.010948396603730329
gemma,wmt19_fien,metric,XComet-XCOMET-XXL,0.12127957072702822,3.806096713651914e-08,0.13095569355832115
gemma,wmt19_fien,metric,metricx-metricx-24-hybrid-large-v2p6,0.07392989564731216,1.9294982390091526e-06,0.11348266350446347
gemma,wmt19_deen,ue,MSP,0.3763756585662658,5.515849395900718e-308,0.739544851300033
gemma,wmt19_deen,ue,PPL,-0.029229367572604227,0.007888716921492622,-0.06295385961319343
gemma,wmt19_deen,ue,MTE,-0.09174299544689848,1.3764950616570152e-15,-0.18776862369849118
gemma,wmt19_deen,ue,MCSE,0.32228940717102617,4.268063182318976e-288,0.7231788927556841
gemma,wmt19_deen,ue,MCNSE,-0.027718524019892457,0.029268467993367003,-0.051669220200035344
gemma,wmt19_deen,ue,LSRL,0.04822089621253298,0.0005977466562720776,0.08128369192308132
gemma,wmt19_deen,metric,Comet-wmt22-comet-da,-0.1541970550050083,1.1220967457088869e-25,-0.24467646948916122
gemma,wmt19_deen,metric,XComet-XCOMET-XXL,-0.09505946253582127,2.940971571582986e-08,-0.1309527593640304
gemma,wmt19_deen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.046058605608295895,0.00044068103354352197,-0.08321418520317253
gemma,wmt19_lten,ue,MSP,0.5666361837610937,0.0,0.7697866935556656
gemma,wmt19_lten,ue,PPL,-0.01856238556750189,0.02873879036715923,-0.051550824460625644
gemma,wmt19_lten,ue,MTE,-0.06479106451233788,4.2640438444511865e-09,-0.13787644654415898
gemma,wmt19_lten,ue,MCSE,0.3976351386921382,0.0,0.7888951275286356
gemma,wmt19_lten,ue,MCNSE,0.0005957951053058438,0.962117775583542,0.001120273541170013
gemma,wmt19_lten,ue,LSRL,0.08985120382999177,1.3229804866360977e-10,0.150666567876473
gemma,wmt19_lten,metric,Comet-wmt22-comet-da,-0.021685813577754454,0.1078396854906606,-0.03791314952427489
gemma,wmt19_lten,metric,XComet-XCOMET-XXL,0.1104156341234327,1.661333196063058e-06,0.11263852214707877
