model,dataset,metric,method,correction,prr_score
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE,DEG2,0.35306515551258877
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE,DEG2,0.2804613105441173
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCNSE,DEG2,0.3756729214220575
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCNSE,DEG2,0.39116320119752646
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCNSE,DEG2,0.4283703361363812
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCNSE,DEG2,0.31269475091402305
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE,DEG3,0.450475131145619
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE,DEG3,0.38818292825477557
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE,DEG3,0.4302352902117991
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE,DEG3,0.34168489938523167
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCNSE,DEG3,0.38756578252274004
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCNSE,DEG3,0.3961217242812854
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCNSE,DEG3,0.45893749183107196
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCNSE,DEG3,0.35378015571856575
Llama 3.1 8B,wmt14_csen,MetricX XXL,LSRL,RAW,0.3945348402223537
Llama 3.1 8B,wmt14_deen,MetricX XXL,LSRL,RAW,0.3544234494071448
Llama 3.1 8B,wmt14_ruen,MetricX XXL,LSRL,RAW,0.36583490918108896
Llama 3.1 8B,wmt14_fren,MetricX XXL,LSRL,RAW,0.3001731555789324
Llama 3.1 8B,wmt19_deen,MetricX XXL,LSRL,RAW,0.3562436565756899
Llama 3.1 8B,wmt19_fien,MetricX XXL,LSRL,RAW,0.31624372099202586
Llama 3.1 8B,wmt19_lten,MetricX XXL,LSRL,RAW,0.4160549461015525
Llama 3.1 8B,wmt19_ruen,MetricX XXL,LSRL,RAW,0.31106989290061066
Llama 3.1 8B,wmt14_csen,MetricX XXL,LSRL,DEG1,0.3796513034046092
Llama 3.1 8B,wmt14_deen,MetricX XXL,LSRL,DEG1,0.3513979231759023
