model,dataset,metric,method,prr_score
Llama 3.1 8B,wmt19_deen,MetricX XXL,LSRL-LINE,0.3477825602321154
Llama 3.1 8B,wmt19_fien,MetricX XXL,LSRL,0.31624372099202586
Llama 3.1 8B,wmt19_fien,MetricX XXL,LSRL-LINE,0.3330551440913323
Llama 3.1 8B,wmt19_lten,MetricX XXL,LSRL,0.4160549461015525
Llama 3.1 8B,wmt19_lten,MetricX XXL,LSRL-LINE,0.3982703640415839
Llama 3.1 8B,wmt19_ruen,MetricX XXL,LSRL,0.31106989290061066
Llama 3.1 8B,wmt19_ruen,MetricX XXL,LSRL-LINE,0.3260555121087192
Gemma 2 9B,wmt14_csen,MetricX XXL,MSP,0.18910382031898135
Gemma 2 9B,wmt14_csen,MetricX XXL,MSP-LINE,0.3923846472593016
Gemma 2 9B,wmt14_deen,MetricX XXL,MSP,0.21937044258876592
Gemma 2 9B,wmt14_deen,MetricX XXL,MSP-LINE,0.4461927329826481
Gemma 2 9B,wmt14_ruen,MetricX XXL,MSP,0.2879719813811583
Gemma 2 9B,wmt14_ruen,MetricX XXL,MSP-LINE,0.41203265998924177
Gemma 2 9B,wmt14_fren,MetricX XXL,MSP,0.13296958626545372
Gemma 2 9B,wmt14_fren,MetricX XXL,MSP-LINE,0.2895651149760845
Gemma 2 9B,wmt19_deen,MetricX XXL,MSP,0.27889275202732866
Gemma 2 9B,wmt19_deen,MetricX XXL,MSP-LINE,0.44603712122977707
Gemma 2 9B,wmt19_fien,MetricX XXL,MSP,0.057621920916927055
Gemma 2 9B,wmt19_fien,MetricX XXL,MSP-LINE,0.3520860127194643
Gemma 2 9B,wmt19_lten,MetricX XXL,MSP,0.24074268132569707
Gemma 2 9B,wmt19_lten,MetricX XXL,MSP-LINE,0.348526574657116
Gemma 2 9B,wmt19_ruen,MetricX XXL,MSP,0.26543926884820856
Gemma 2 9B,wmt19_ruen,MetricX XXL,MSP-LINE,0.3864774138361482
Gemma 2 9B,wmt14_csen,MetricX XXL,PPL,0.4245027775029517
Gemma 2 9B,wmt14_csen,MetricX XXL,PPL-LINE,0.42910825963028265
