model,dataset,metric,method,prr_score
Llama 3.1 8B,wmt19_deen,Comet WMT22,LSRL-LINE,0.4042376963904441
Llama 3.1 8B,wmt19_fien,Comet WMT22,LSRL,0.36787966736238303
Llama 3.1 8B,wmt19_fien,Comet WMT22,LSRL-LINE,0.3667283638282681
Llama 3.1 8B,wmt19_lten,Comet WMT22,LSRL,0.42037656583567595
Llama 3.1 8B,wmt19_lten,Comet WMT22,LSRL-LINE,0.39954665179432913
Llama 3.1 8B,wmt19_ruen,Comet WMT22,LSRL,0.34711076272805447
Llama 3.1 8B,wmt19_ruen,Comet WMT22,LSRL-LINE,0.380174985166118
Gemma 2 9B,wmt14_csen,Comet WMT22,MSP,0.3980281934154919
Gemma 2 9B,wmt14_csen,Comet WMT22,MSP-LINE,0.4820652165982014
Gemma 2 9B,wmt14_deen,Comet WMT22,MSP,0.3730956509156523
Gemma 2 9B,wmt14_deen,Comet WMT22,MSP-LINE,0.5010967761982117
Gemma 2 9B,wmt14_ruen,Comet WMT22,MSP,0.42501131738086734
Gemma 2 9B,wmt14_ruen,Comet WMT22,MSP-LINE,0.47328249654959814
Gemma 2 9B,wmt14_fren,Comet WMT22,MSP,0.28625524250549683
Gemma 2 9B,wmt14_fren,Comet WMT22,MSP-LINE,0.38257072909417644
Gemma 2 9B,wmt19_deen,Comet WMT22,MSP,0.4901975324672689
Gemma 2 9B,wmt19_deen,Comet WMT22,MSP-LINE,0.5332538773276565
Gemma 2 9B,wmt19_fien,Comet WMT22,MSP,0.1847322612627859
Gemma 2 9B,wmt19_fien,Comet WMT22,MSP-LINE,0.4222181165583535
Gemma 2 9B,wmt19_lten,Comet WMT22,MSP,0.3498283077152618
Gemma 2 9B,wmt19_lten,Comet WMT22,MSP-LINE,0.3596880328112728
Gemma 2 9B,wmt19_ruen,Comet WMT22,MSP,0.4005152831737308
Gemma 2 9B,wmt19_ruen,Comet WMT22,MSP-LINE,0.41152544945435654
Gemma 2 9B,wmt14_csen,Comet WMT22,PPL,0.4355824600337033
Gemma 2 9B,wmt14_csen,Comet WMT22,PPL-LINE,0.4566554002396981
Gemma 2 9B,wmt14_deen,Comet WMT22,PPL,0.483771437778783
Gemma 2 9B,wmt14_deen,Comet WMT22,PPL-LINE,0.5061035362677894
Gemma 2 9B,wmt14_ruen,Comet WMT22,PPL,0.381592713647498
Gemma 2 9B,wmt14_ruen,Comet WMT22,PPL-LINE,0.4959991324600618
Gemma 2 9B,wmt14_fren,Comet WMT22,PPL,0.3610052566151823
Gemma 2 9B,wmt14_fren,Comet WMT22,PPL-LINE,0.3997238919752696
Gemma 2 9B,wmt19_deen,Comet WMT22,PPL,0.44484457798368865
Gemma 2 9B,wmt19_deen,Comet WMT22,PPL-LINE,0.46612034332646013
Gemma 2 9B,wmt19_fien,Comet WMT22,PPL,0.4556923402237238
Gemma 2 9B,wmt19_fien,Comet WMT22,PPL-LINE,0.4558441964882471
Gemma 2 9B,wmt19_lten,Comet WMT22,PPL,0.3039736132585588
Gemma 2 9B,wmt19_lten,Comet WMT22,PPL-LINE,0.32117314667813057
Gemma 2 9B,wmt19_ruen,Comet WMT22,PPL,0.3051826468790683
Gemma 2 9B,wmt19_ruen,Comet WMT22,PPL-LINE,0.35486659656119635
Gemma 2 9B,wmt14_csen,Comet WMT22,MTE,0.44278695693537357
Gemma 2 9B,wmt14_csen,Comet WMT22,MTE-LINE,0.49246490155197953
Gemma 2 9B,wmt14_deen,Comet WMT22,MTE,0.48888523925686556
Gemma 2 9B,wmt14_deen,Comet WMT22,MTE-LINE,0.5367015307170576
Gemma 2 9B,wmt14_ruen,Comet WMT22,MTE,0.38436938637560353
Gemma 2 9B,wmt14_ruen,Comet WMT22,MTE-LINE,0.5289827496306675
Gemma 2 9B,wmt14_fren,Comet WMT22,MTE,0.37135042991652567
Gemma 2 9B,wmt14_fren,Comet WMT22,MTE-LINE,0.4364891190367375
Gemma 2 9B,wmt19_deen,Comet WMT22,MTE,0.4361468512985898
Gemma 2 9B,wmt19_deen,Comet WMT22,MTE-LINE,0.5056805813214285
Gemma 2 9B,wmt19_fien,Comet WMT22,MTE,0.4868396623505006
Gemma 2 9B,wmt19_fien,Comet WMT22,MTE-LINE,0.4925729869952176
Gemma 2 9B,wmt19_lten,Comet WMT22,MTE,0.30168504513458
Gemma 2 9B,wmt19_lten,Comet WMT22,MTE-LINE,0.35980252171636157
Gemma 2 9B,wmt19_ruen,Comet WMT22,MTE,0.30435909802249644
Gemma 2 9B,wmt19_ruen,Comet WMT22,MTE-LINE,0.40100376221662676
Gemma 2 9B,wmt14_csen,Comet WMT22,MCSE,0.31858233401029706
Gemma 2 9B,wmt14_csen,Comet WMT22,MCSE-LINE,0.3944817807635056
Gemma 2 9B,wmt14_deen,Comet WMT22,MCSE,0.3079413688029587
Gemma 2 9B,wmt14_deen,Comet WMT22,MCSE-LINE,0.43123580234388775
Gemma 2 9B,wmt14_ruen,Comet WMT22,MCSE,0.35338637898536485
Gemma 2 9B,wmt14_ruen,Comet WMT22,MCSE-LINE,0.3754164349441813
Gemma 2 9B,wmt14_fren,Comet WMT22,MCSE,0.283131470586384
Gemma 2 9B,wmt14_fren,Comet WMT22,MCSE-LINE,0.3521179036201538
Gemma 2 9B,wmt19_deen,Comet WMT22,MCSE,0.40591280260369245
Gemma 2 9B,wmt19_deen,Comet WMT22,MCSE-LINE,0.47186687479463
Gemma 2 9B,wmt19_fien,Comet WMT22,MCSE,0.09225852622088578
Gemma 2 9B,wmt19_fien,Comet WMT22,MCSE-LINE,0.3070330231768505
Gemma 2 9B,wmt19_lten,Comet WMT22,MCSE,0.28667081525283494
Gemma 2 9B,wmt19_lten,Comet WMT22,MCSE-LINE,0.2942182657276923
Gemma 2 9B,wmt19_ruen,Comet WMT22,MCSE,0.3606208721969693
Gemma 2 9B,wmt19_ruen,Comet WMT22,MCSE-LINE,0.3866277375284459
Gemma 2 9B,wmt14_csen,Comet WMT22,MCNSE,0.4420735577423437
Gemma 2 9B,wmt14_csen,Comet WMT22,MCNSE-LINE,0.43770174258355926
Gemma 2 9B,wmt14_deen,Comet WMT22,MCNSE,0.5018209055149132
Gemma 2 9B,wmt14_deen,Comet WMT22,MCNSE-LINE,0.4993667510220929
Gemma 2 9B,wmt14_ruen,Comet WMT22,MCNSE,0.4169342151693558
Gemma 2 9B,wmt14_ruen,Comet WMT22,MCNSE-LINE,0.47987532817937395
Gemma 2 9B,wmt14_fren,Comet WMT22,MCNSE,0.37000882095463183
Gemma 2 9B,wmt14_fren,Comet WMT22,MCNSE-LINE,0.3885461277816444
Gemma 2 9B,wmt19_deen,Comet WMT22,MCNSE,0.4730176039593972
Gemma 2 9B,wmt19_deen,Comet WMT22,MCNSE-LINE,0.4912631036997222
Gemma 2 9B,wmt19_fien,Comet WMT22,MCNSE,0.4133053838699012
Gemma 2 9B,wmt19_fien,Comet WMT22,MCNSE-LINE,0.41374037495512306
Gemma 2 9B,wmt19_lten,Comet WMT22,MCNSE,0.35189053097398826
Gemma 2 9B,wmt19_lten,Comet WMT22,MCNSE-LINE,0.3513458135262976
Gemma 2 9B,wmt19_ruen,Comet WMT22,MCNSE,0.3730063674840428
Gemma 2 9B,wmt19_ruen,Comet WMT22,MCNSE-LINE,0.40539492085381884
Gemma 2 9B,wmt14_csen,Comet WMT22,LSRL,0.3996484849215278
Gemma 2 9B,wmt14_csen,Comet WMT22,LSRL-LINE,0.37992486307451034
Gemma 2 9B,wmt14_deen,Comet WMT22,LSRL,0.47286596064064196
Gemma 2 9B,wmt14_deen,Comet WMT22,LSRL-LINE,0.4625014600641705
Gemma 2 9B,wmt14_ruen,Comet WMT22,LSRL,0.4004864671052671
Gemma 2 9B,wmt14_ruen,Comet WMT22,LSRL-LINE,0.4473716686605496
Gemma 2 9B,wmt14_fren,Comet WMT22,LSRL,0.3277667600337111
Gemma 2 9B,wmt14_fren,Comet WMT22,LSRL-LINE,0.3192088306048016
Gemma 2 9B,wmt19_deen,Comet WMT22,LSRL,0.43178410032000986
Gemma 2 9B,wmt19_deen,Comet WMT22,LSRL-LINE,0.4111464145721446
Gemma 2 9B,wmt19_fien,Comet WMT22,LSRL,0.3958858471415503
Gemma 2 9B,wmt19_fien,Comet WMT22,LSRL-LINE,0.39992693930266576
Gemma 2 9B,wmt19_lten,Comet WMT22,LSRL,0.33822376386874453
Gemma 2 9B,wmt19_lten,Comet WMT22,LSRL-LINE,0.27909425356531703
Gemma 2 9B,wmt19_ruen,Comet WMT22,LSRL,0.3363172144788169
Gemma 2 9B,wmt19_ruen,Comet WMT22,LSRL-LINE,0.34960123755752476
EuroLLM 9B,wmt14_csen,Comet WMT22,MSP,0.29297723874386566
EuroLLM 9B,wmt14_csen,Comet WMT22,MSP-LINE,0.37395174661194436
EuroLLM 9B,wmt14_deen,Comet WMT22,MSP,0.3317633239239606
EuroLLM 9B,wmt14_deen,Comet WMT22,MSP-LINE,0.4612519869031191
EuroLLM 9B,wmt14_ruen,Comet WMT22,MSP,0.42270688419753316
EuroLLM 9B,wmt14_ruen,Comet WMT22,MSP-LINE,0.4996893775091791
EuroLLM 9B,wmt14_fren,Comet WMT22,MSP,0.23792238950538458
EuroLLM 9B,wmt14_fren,Comet WMT22,MSP-LINE,0.34240939806156656
EuroLLM 9B,wmt19_deen,Comet WMT22,MSP,0.40069959927473187
EuroLLM 9B,wmt19_deen,Comet WMT22,MSP-LINE,0.5071182613903922
EuroLLM 9B,wmt19_fien,Comet WMT22,MSP,0.16244145579133945
EuroLLM 9B,wmt19_fien,Comet WMT22,MSP-LINE,0.3936291145845242
EuroLLM 9B,wmt19_lten,Comet WMT22,MSP,0.27658473447950394
EuroLLM 9B,wmt19_lten,Comet WMT22,MSP-LINE,0.3405749623495954
EuroLLM 9B,wmt19_ruen,Comet WMT22,MSP,0.4304800631859134
EuroLLM 9B,wmt19_ruen,Comet WMT22,MSP-LINE,0.4358375208069
EuroLLM 9B,wmt14_csen,Comet WMT22,PPL,0.5051788647626327
EuroLLM 9B,wmt14_csen,Comet WMT22,PPL-LINE,0.5311124030034439
EuroLLM 9B,wmt14_deen,Comet WMT22,PPL,0.5049417287784129
EuroLLM 9B,wmt14_deen,Comet WMT22,PPL-LINE,0.5311921101421534
EuroLLM 9B,wmt14_ruen,Comet WMT22,PPL,0.4335391795216228
EuroLLM 9B,wmt14_ruen,Comet WMT22,PPL-LINE,0.5365639396195883
EuroLLM 9B,wmt14_fren,Comet WMT22,PPL,0.43969643090250027
EuroLLM 9B,wmt14_fren,Comet WMT22,PPL-LINE,0.47346933212950654
EuroLLM 9B,wmt19_deen,Comet WMT22,PPL,0.5155446385986024
EuroLLM 9B,wmt19_deen,Comet WMT22,PPL-LINE,0.5364370043120107
EuroLLM 9B,wmt19_fien,Comet WMT22,PPL,0.48416355098725994
EuroLLM 9B,wmt19_fien,Comet WMT22,PPL-LINE,0.4864477622176622
EuroLLM 9B,wmt19_lten,Comet WMT22,PPL,0.35689628849859456
EuroLLM 9B,wmt19_lten,Comet WMT22,PPL-LINE,0.40254352248933933
EuroLLM 9B,wmt19_ruen,Comet WMT22,PPL,0.3247199723372336
EuroLLM 9B,wmt19_ruen,Comet WMT22,PPL-LINE,0.3943879546926203
EuroLLM 9B,wmt14_csen,Comet WMT22,MTE,0.5247172972858595
EuroLLM 9B,wmt14_csen,Comet WMT22,MTE-LINE,0.572164778573043
EuroLLM 9B,wmt14_deen,Comet WMT22,MTE,0.5165715683514618
EuroLLM 9B,wmt14_deen,Comet WMT22,MTE-LINE,0.5526184989843317
EuroLLM 9B,wmt14_ruen,Comet WMT22,MTE,0.45563488662891766
EuroLLM 9B,wmt14_ruen,Comet WMT22,MTE-LINE,0.5639263846372549
EuroLLM 9B,wmt14_fren,Comet WMT22,MTE,0.4660276871996841
EuroLLM 9B,wmt14_fren,Comet WMT22,MTE-LINE,0.519768285613584
EuroLLM 9B,wmt19_deen,Comet WMT22,MTE,0.5110970489520962
EuroLLM 9B,wmt19_deen,Comet WMT22,MTE-LINE,0.5750898424786516
EuroLLM 9B,wmt19_fien,Comet WMT22,MTE,0.5117610685909972
EuroLLM 9B,wmt19_fien,Comet WMT22,MTE-LINE,0.5214511384450616
EuroLLM 9B,wmt19_lten,Comet WMT22,MTE,0.37197876352762277
EuroLLM 9B,wmt19_lten,Comet WMT22,MTE-LINE,0.4496417192360343
EuroLLM 9B,wmt19_ruen,Comet WMT22,MTE,0.34064107141267563
EuroLLM 9B,wmt19_ruen,Comet WMT22,MTE-LINE,0.4534652121928809
EuroLLM 9B,wmt14_csen,Comet WMT22,MCSE,0.3511622913544907
EuroLLM 9B,wmt14_csen,Comet WMT22,MCSE-LINE,0.46209681102633676
EuroLLM 9B,wmt14_deen,Comet WMT22,MCSE,0.3588279143001
EuroLLM 9B,wmt14_deen,Comet WMT22,MCSE-LINE,0.4660796670675908
EuroLLM 9B,wmt14_ruen,Comet WMT22,MCSE,0.4239800053615889
EuroLLM 9B,wmt14_ruen,Comet WMT22,MCSE-LINE,0.4562980397259947
EuroLLM 9B,wmt14_fren,Comet WMT22,MCSE,0.283117118764891
EuroLLM 9B,wmt14_fren,Comet WMT22,MCSE-LINE,0.39553508783788
EuroLLM 9B,wmt19_deen,Comet WMT22,MCSE,0.41402781758446267
EuroLLM 9B,wmt19_deen,Comet WMT22,MCSE-LINE,0.48674070608676256
EuroLLM 9B,wmt19_fien,Comet WMT22,MCSE,0.21142702409011477
EuroLLM 9B,wmt19_fien,Comet WMT22,MCSE-LINE,0.3998107727504701
EuroLLM 9B,wmt19_lten,Comet WMT22,MCSE,0.3431642287413338
EuroLLM 9B,wmt19_lten,Comet WMT22,MCSE-LINE,0.3747610967251543
EuroLLM 9B,wmt19_ruen,Comet WMT22,MCSE,0.42235859759301486
EuroLLM 9B,wmt19_ruen,Comet WMT22,MCSE-LINE,0.38935785177080406
EuroLLM 9B,wmt14_csen,Comet WMT22,MCNSE,0.22516026963927746
EuroLLM 9B,wmt14_csen,Comet WMT22,MCNSE-LINE,0.22029989250182822
EuroLLM 9B,wmt14_deen,Comet WMT22,MCNSE,0.3567820614965771
EuroLLM 9B,wmt14_deen,Comet WMT22,MCNSE-LINE,0.358743205260461
EuroLLM 9B,wmt14_ruen,Comet WMT22,MCNSE,0.28236037792387975
EuroLLM 9B,wmt14_ruen,Comet WMT22,MCNSE-LINE,0.33430207090762837
EuroLLM 9B,wmt14_fren,Comet WMT22,MCNSE,0.22111983350603664
EuroLLM 9B,wmt14_fren,Comet WMT22,MCNSE-LINE,0.22046361304632306
EuroLLM 9B,wmt19_deen,Comet WMT22,MCNSE,0.3378522161280529
EuroLLM 9B,wmt19_deen,Comet WMT22,MCNSE-LINE,0.33736682140168545
EuroLLM 9B,wmt19_fien,Comet WMT22,MCNSE,0.35511884556999507
EuroLLM 9B,wmt19_fien,Comet WMT22,MCNSE-LINE,0.3462117502143236
EuroLLM 9B,wmt19_lten,Comet WMT22,MCNSE,0.2772557868511457
EuroLLM 9B,wmt19_lten,Comet WMT22,MCNSE-LINE,0.27931506129379297
EuroLLM 9B,wmt19_ruen,Comet WMT22,MCNSE,0.24489582703142596
EuroLLM 9B,wmt19_ruen,Comet WMT22,MCNSE-LINE,0.2940844881675894
EuroLLM 9B,wmt14_csen,Comet WMT22,LSRL,0.31715217573867377
EuroLLM 9B,wmt14_csen,Comet WMT22,LSRL-LINE,0.31690958741399816
EuroLLM 9B,wmt14_deen,Comet WMT22,LSRL,0.37517169479923623
EuroLLM 9B,wmt14_deen,Comet WMT22,LSRL-LINE,0.3739525917671691
EuroLLM 9B,wmt14_ruen,Comet WMT22,LSRL,0.31440259987242025
EuroLLM 9B,wmt14_ruen,Comet WMT22,LSRL-LINE,0.3559842880783196
EuroLLM 9B,wmt14_fren,Comet WMT22,LSRL,0.2922287530582597
EuroLLM 9B,wmt14_fren,Comet WMT22,LSRL-LINE,0.2922668032820002
EuroLLM 9B,wmt19_deen,Comet WMT22,LSRL,0.40434975539859763
EuroLLM 9B,wmt19_deen,Comet WMT22,LSRL-LINE,0.40676015080993405
EuroLLM 9B,wmt19_fien,Comet WMT22,LSRL,0.3467080779853919
EuroLLM 9B,wmt19_fien,Comet WMT22,LSRL-LINE,0.35386166909106154
EuroLLM 9B,wmt19_lten,Comet WMT22,LSRL,0.3175446107106268
EuroLLM 9B,wmt19_lten,Comet WMT22,LSRL-LINE,0.31298119489648923
EuroLLM 9B,wmt19_ruen,Comet WMT22,LSRL,0.2588891380731487
EuroLLM 9B,wmt19_ruen,Comet WMT22,LSRL-LINE,0.290768679897838
